,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Zero crossing rate,2_Area under the curve,2_Autocorrelation,2_Centroid,2_Mean absolute diff,2_Mean diff,2_Median absolute diff,2_Median diff,2_Negative turning points,2_Neighbourhood peaks,2_Positive turning points,2_Signal distance,2_Slope,2_Sum absolute diff,2_Zero crossing rate,3_Area under the curve,3_Autocorrelation,3_Centroid,3_Mean absolute diff,3_Mean diff,3_Median absolute diff,3_Median diff,3_Negative turning points,3_Neighbourhood peaks,3_Positive turning points,3_Signal distance,3_Slope,3_Sum absolute diff,3_Zero crossing rate,label
10,792.7435958460628,798.2393201116818,397.4995417501823,0.0267638246316716,-6.909616548591812e-05,0.014388061769296967,-0.0008999477362914288,191.0,25.0,191.0,793.7208835107035,-1.975571286022996e-06,21.22371293291558,0.0,21285.508513646295,1033855.4416466192,505.22391684257246,9.222527903737046,0.00406431054124466,1.8070203374402638,0.15033705221151195,192.0,20.0,191.0,7567.517575443832,0.02517066218342333,7313.464627663478,0.0,93240.64435065622,11031590.190894414,408.14795652838615,4.238063312064456,0.02309428004366805,0.4925475420455996,0.0,185.0,28.0,197.0,3771.317579832319,0.013536277940093646,3360.784206467114,0.0,24060.980712943096,1088182.987535866,464.9569092141448,9.15410217823144,0.012967776679691893,0.37700586892962207,0.043914976897761804,155.0,10.0,156.0,7689.050869408362,0.027770960447778225,7259.203027337532,0.0,0.0
11,659.4013910093008,664.742756628401,330.1089736590461,0.03821405895279146,1.4984467827422801e-05,0.021526370786691174,-0.0007732183366314649,197.0,20.0,197.0,661.2173000072023,-5.287334974657155e-06,25.22127890884236,0.0,20741.60946324902,1069354.8860930332,376.00267687102536,12.863206314409172,0.01970059617414628,3.83070290394138,0.14645349703728083,193.0,13.0,194.0,8646.44714390464,0.021561279317899435,8489.716167510054,0.0,79097.04607684046,9518900.725485438,331.3012570064036,5.344860342031375,-0.013584773579584467,6.064051500655367,0.0,188.0,19.0,191.0,3801.097014296597,0.002204351428639619,3527.607825740708,0.0,22466.95351387756,1036641.2118864756,345.6612624158987,11.798322654332143,-0.004199840261150003,0.8326783871160401,0.02706193066133622,179.0,4.0,179.0,8069.547064989549,0.007298099832591747,7786.892951859214,0.0,0.0
12,2050.908212206216,2056.8204628787553,1026.646564996928,0.010887262787959939,4.549706921939317e-06,0.003880604972957391,0.0,464.0,85.0,464.0,2049.5106878949655,2.6070260448919407e-06,22.308001452529915,0.0,39961.59418527996,1311204.8565386892,1277.4408353072183,4.067458445099095,0.0010139298865412141,0.4975123490246318,0.006007452241256317,349.0,81.0,358.0,9462.324553048433,0.007790711358471588,8334.222354008045,0.0,185294.0566737307,17082568.62135148,1054.718915079665,4.08275925925227,0.018773247541128576,0.17242218696873124,0.0,247.0,74.0,249.0,9774.822624420627,0.00391879801833045,8365.5737222079,0.0,35074.25187311003,2281303.7687312746,1184.2010550559594,6.991109374147983,0.003740293070530801,0.06740136630922833,0.0,122.0,83.0,256.0,15788.628266059168,0.006891241847288208,14324.783107629217,278.0,2.0
13,1660.5294017050528,1679.63587117848,829.8913497839965,0.014558715144083976,3.0896615417017685e-06,0.004595441842037307,0.0,334.0,62.0,333.0,1649.8200976163264,1.0325535093650148e-05,24.007321272594474,0.0,34603.82695285723,1202635.8986822926,1020.96056808255,4.995351973796844,0.0010039652075665363,0.617104932391122,0.013462647852456655,287.0,64.0,290.0,9082.426793019466,0.008620824747001201,8237.335404790996,0.0,148498.6215162591,13625163.387584431,852.3944504847499,3.9949644323991502,0.023698307392924833,0.18298356153194106,0.0,183.0,54.0,196.0,7714.342823571479,0.005502920047545853,6587.696349026199,0.0,30432.107586769067,2011352.6553055458,942.5209874535798,7.751140956123263,0.009490950617262538,0.057758430771855274,0.0,89.0,60.0,195.0,13935.491198607251,0.008243226959882012,12781.63143664726,219.0,2.0
14,1651.8138628287102,1664.7610212969932,824.827214040442,0.013202451691804435,2.5051559794672884e-05,0.004872920561852789,-0.00012505371433113588,367.0,70.0,364.0,1644.6119495990881,4.60915880799956e-06,21.70483058132649,0.0,35426.99411359307,1386938.2511720993,1043.334496543139,5.710686098276444,-0.0024059630902749174,0.6622303574312487,-0.0030309469434480762,270.0,66.0,275.0,10210.724558549446,0.009592150699076122,9388.367945566473,0.0,148072.09367175758,13599082.830796642,856.1963452859718,4.105729600950547,0.024155289763931387,0.20178134887559906,0.0,204.0,57.0,222.0,7865.7415788090475,0.006777008077401861,6749.819463962699,0.0,33597.12382026015,2209457.8110676506,962.0234515458958,9.018768096268863,0.009627906659757223,0.06567869723778674,0.0,90.0,52.0,199.0,15959.881087812671,0.010135174399080989,14826.854750266011,223.0,2.0
15,1609.9732155965348,1619.190421712679,804.4954763531019,0.014962235465801778,3.9733834574036425e-07,0.005335921071488281,-8.041440520134557e-07,321.0,69.0,325.0,1606.6626530732185,2.835463032316924e-06,24.029350158077655,0.0,35151.58448462383,1239173.7497491203,944.383916945989,5.2836243448184455,-0.009317970009573706,0.6800112314395597,0.0,290.0,66.0,294.0,9286.183797313337,0.006582921691742566,8485.500697778423,0.0,145265.20394898747,13390488.6477529,830.8231170524042,3.9567092081085926,0.0239516724442836,0.1403355988025723,0.0,165.0,52.0,190.0,7467.241580089353,0.005758299080131099,6354.4749882224,0.0,30470.47869101483,1837452.2060779103,878.415737540442,8.27049694597608,0.010217592314394461,0.04517339163095002,0.0,87.0,59.0,192.0,14418.333508789894,0.0068956140888106945,13282.418095237585,217.0,2.0
16,1489.908209768576,1501.942796832116,741.8724309082355,0.016745108460228357,1.9692499841872845e-05,0.005842906953711924,-0.00041438001176746786,330.0,57.0,329.0,1484.8617061890463,-1.945386088166868e-06,24.849740954978884,0.0,34678.10404769922,1322001.0235991147,861.346673419426,6.197051959399156,0.0061091985464738485,0.7302404040168593,-0.005734404585691966,264.0,62.0,267.0,9904.936011630187,0.006747228018430764,9196.425107748348,0.0,133260.1576787701,12196319.451654091,771.7784314543011,3.862723080150851,0.026071341973678813,0.19287133186228544,0.0,160.0,49.0,186.0,6747.659568653036,0.0071810401003081815,5732.281050943863,0.0,29449.071997494237,1740005.2591918292,769.4943495671168,8.24190535827235,-0.0013750869665798504,0.06262814174812714,0.0,72.0,50.0,179.0,13257.743673451212,0.003487916424808641,12230.987551676166,218.0,2.0
17,1473.912373229881,1479.2188749690647,736.1763352521244,0.015411798863912819,-2.0297023822096497e-06,0.009476977729522718,-7.728056714451093e-05,387.0,65.0,386.0,1471.4414186842514,1.5208202907617457e-06,22.670756128815757,0.0,24213.258777047184,594239.0486452768,778.374712626595,5.541115701904994,0.0033778820630383753,1.088971750104525,-0.020893747056970113,368.0,51.0,368.0,8736.034322915086,0.0025992197605656416,8150.981197502247,0.0,158963.4219107795,17265231.682343647,737.9856551326492,3.6555633261385725,-0.011376323942112711,0.3975880655414272,0.0,334.0,49.0,330.0,6229.21498767828,0.0007033997377121341,5377.33365274984,0.0,39409.0727245148,1426831.769558298,810.1978494103691,6.463512979061307,0.005222842050981102,0.2546592227312381,0.015181695979819665,283.0,24.0,284.0,10354.056979724104,0.007295128423984406,9507.827592199183,0.0,2.0
18,1165.677937025647,1167.6942946669005,582.7683354667112,0.01821283956650806,1.567208765612195e-05,0.011764360050917522,-0.00034657273349963935,295.0,46.0,295.0,1166.5249524191681,-1.3474171031476729e-06,21.236170934548397,0.0,19796.968930835927,438169.1100551616,567.3339737536376,4.688983765382955,0.0010915221506594623,1.0868337759077658,-0.014357177439507929,284.0,51.0,284.0,5941.175914738128,-0.0006861849331639669,5467.355070436525,0.0,127797.31110877753,14082627.272805855,583.2659681772949,4.105289829409156,-0.011402523820151798,0.465863255706779,0.0,262.0,41.0,259.0,5418.931544343819,7.994668671508562e-05,4786.767941091077,0.0,34862.62893729907,1263855.7048860826,607.4460256087028,4.125412402167316,0.01119565246734429,0.2129288767676254,0.03211181326665624,225.0,19.0,225.0,5510.881712434053,0.005391791085554224,4810.23086092709,0.0,2.0
19,1150.1404731468556,1154.537773678337,572.9045348105537,0.01957646277899866,-2.3722249126292984e-05,0.012367658589246489,-0.0003610312422132611,298.0,51.0,298.0,1148.51030640634,-4.516951131842606e-06,22.47377927029046,0.0,19213.47090112913,472078.45661747357,502.912479030339,4.521181895641558,-0.010400351275776274,1.0856614016441362,-0.016527213832622678,291.0,40.0,291.0,5650.856825818739,-0.0028776185721698126,5190.316816196509,0.0,124907.28909245174,13667081.908720557,573.7045801580895,4.419049089761842,0.0006193544036294579,0.429452248197002,0.0,254.0,31.0,269.0,5709.86462681478,-0.000222352673156634,5073.068355046595,0.0,37805.97568930608,1432132.5557987639,569.8396158876855,5.296820334612175,-5.747586397806816e-05,0.22640589319585125,0.010447491416170962,233.0,26.0,234.0,6756.53429590246,-0.0010591997939440167,6080.749744134777,0.0,0.0
